Subject,Date,Duration(hrs),Completed
Math,2025-10-06,2.5,0
English,2025-10-06,0.8,0
Science,2025-10-06,1.7,0
Math,2025-10-07,2.5,0
English,2025-10-07,0.8,0
Science,2025-10-07,1.7,0
Math,2025-10-08,2.5,0
English,2025-10-08,0.8,0
Science,2025-10-08,1.7,0
Math,2025-10-09,2.5,0
English,2025-10-09,0.8,0
Science,2025-10-09,1.7,0
Math,2025-10-10,2.5,0
English,2025-10-10,0.8,0
Science,2025-10-10,1.7,0
Math,2025-10-11,2.5,0
English,2025-10-11,0.8,0
Science,2025-10-11,1.7,0
Math,2025-10-12,2.5,0
English,2025-10-12,0.8,0
Science,2025-10-12,1.7,0
